id,title,description,min_level,section,image,section_image
1,The Problem Kubernetes Solves,What happens once you have more containers than one machine (or one human) can babysit.,1,Why Kubernetes,unit1.png,
2,Kubernetes vs. Plain Docker,Why running containers and orchestrating them are two different jobs.,1,Why Kubernetes,unit2.png,
3,Control Plane vs. Nodes,"The two halves of a cluster: the brain that decides, and the machines that actually run things.",1,Cluster Architecture,unit3.png,
4,The API Server and etcd,"Every request goes through one door, and every fact about the cluster lives in one database.",1,Cluster Architecture,unit4.png,
43,etcd: The Cluster's Database,The single database where every fact about a cluster's state actually lives.,1,Cluster Architecture,unit43.png,
5,The Scheduler,How Kubernetes decides which node a new pod actually runs on.,1,Cluster Architecture,unit5.png,
6,The Kubelet and Container Runtime,The agent on every node that makes the control plane's decisions real.,1,Cluster Architecture,unit6.png,
7,Talking to a Cluster With kubectl,Your main tool for asking a cluster questions and telling it what you want.,1,Cluster Architecture,unit7.png,
8,What a Pod Actually Is,"Kubernetes' smallest deployable unit, and why it's not just ""a container.""",1,Pods,unit8.png,
9,Multi-Container Pods and Sidecars,When and why you'd run two containers that share a pod's network and storage.,1,Pods,unit9.png,
10,A Pod's Lifecycle,"The stages a pod moves through, from scheduled to running to gone.",1,Pods,unit10.png,
11,ReplicaSets,"Keeping a specific number of identical pods running, always.",1,Workload Controllers,unit11.png,
12,Deployments,The controller you'll actually use day to day — rolling updates and easy rollbacks on top of a ReplicaSet.,1,Workload Controllers,unit12.png,
13,StatefulSets,"For workloads that need a stable identity and storage, like databases.",1,Workload Controllers,unit13.png,
14,DaemonSets,Running exactly one copy of a pod on every node — useful for logging and monitoring agents.,1,Workload Controllers,unit14.png,
15,Jobs and CronJobs,"Running a task to completion once, or on a schedule.",1,Workload Controllers,unit15.png,
16,Services: Giving Pods a Stable Address,Pods come and go; a Service gives them one address that doesn't.,1,Networking,unit16.png,
17,"ClusterIP, NodePort, and LoadBalancer","The three ways a Service can be exposed, from internal-only to internet-facing.",1,Networking,unit17.png,
18,DNS Inside a Cluster,How one pod finds another by name instead of a changing IP address.,1,Networking,unit18.png,
19,Ingress and Ingress Controllers,Routing external HTTP traffic to the right Service based on hostname or path.,1,Networking,unit19.png,
20,ConfigMaps,Keeping configuration separate from your container image so you don't rebuild it to change a setting.,1,Configuration,unit20.png,
21,Secrets,"Handling passwords, tokens, and keys with a bit more care than plain configuration.",1,Configuration,unit21.png,
22,Getting Config Into a Pod,Passing ConfigMaps and Secrets in as environment variables or mounted files.,1,Configuration,unit22.png,
23,"Volumes, Briefly",Giving a container storage that survives longer than the container itself.,1,Storage,unit23.png,
24,PersistentVolumes and PersistentVolumeClaims,"Separating ""storage that exists"" from ""storage a pod is asking for.""",1,Storage,unit24.png,
25,StorageClasses and Dynamic Provisioning,Letting Kubernetes create storage on demand instead of pre-provisioning it by hand.,1,Storage,unit25.png,
26,Requests and Limits,"Telling the scheduler how much CPU and memory a pod needs, and capping how much it can take.",1,Scheduling and Organization,unit26.png,
27,Namespaces,"Splitting one cluster into separate logical spaces for teams, environments, or projects.",1,Scheduling and Organization,unit27.png,
28,Labels and Selectors,The tagging system almost every other Kubernetes feature is built on top of.,1,Scheduling and Organization,unit28.png,
29,Node Affinity and Taints,Influencing (or restricting) which nodes a pod is allowed to land on.,1,Scheduling and Organization,unit29.png,
30,"Liveness, Readiness, and Startup Probes","How Kubernetes knows whether a pod is healthy, ready for traffic, or still starting up.",1,Scaling and Health,unit30.png,
31,Horizontal Pod Autoscaling,Automatically adding or removing pods as real load changes.,1,Scaling and Health,unit31.png,
32,YAML Manifests and Applying Them,"Describing the state you want, and letting Kubernetes work out how to get there.",1,Packaging and Declarative Config,unit32.png,
33,Helm Basics,"Packaging a set of manifests into a reusable, configurable chart.",1,Packaging and Declarative Config,unit33.png,
34,"Kustomize, Briefly",Customizing plain YAML for different environments without templating.,1,Packaging and Declarative Config,unit34.png,
35,Rolling Updates and Rollbacks in Practice,"Shipping a new version with zero downtime, and backing out cleanly if it's bad.",1,Day-to-Day Operations,unit35.png,
36,Reading Logs and Debugging a Pod,The first few commands you reach for when a pod isn't behaving.,1,Day-to-Day Operations,unit36.png,
37,RBAC Basics,Controlling who's allowed to do what inside a cluster.,1,Day-to-Day Operations,unit37.png,
38,Resource Quotas and Limit Ranges,Capping how much of a cluster's resources one namespace can consume.,1,Production Concerns,unit38.png,
39,Pod Disruption Budgets,Protecting a workload's availability during voluntary disruptions like node maintenance.,1,Production Concerns,unit39.png,
40,Common Kubernetes Anti-Patterns,The mistakes that look fine in a demo and cause real pain in production.,1,Production Concerns,unit40.png,
